"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"N_NOV10","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 10:50","6/05/2023 10:55","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-B2","F"
"N_NOV18","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:58","6/05/2023 12:32","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-B3","M"
"N_NOV06","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 9:20","6/05/2023 9:36","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-F1","M"
"N_NOV14","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:58","6/05/2023 12:15","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-F2","F"
"N_NOV07","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 9:20","6/05/2023 9:37","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-G1","F"
"N_NOV16","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:58","6/05/2023 12:25","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-H2","M"
"N_NOV24","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tommahawk tank","HPTT","6/05/2023 14:50","6/05/2023 15:26","No","Yes","<Null>","Nov_2023",146.330789,-21.735214,"DPoep23-8916","1-H3","M"
"C_BTF1","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 1:50","7/09/2021 2:30","Yes","Yes","BTF1","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-A1","F"
"C_BTF33","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:33","13/09/2021 1:02","No","Yes","BTF33","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-A5","M"
"C_BTF2","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 10:27","7/09/2021 11:16","No","Yes","BTF2","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-B1","M"
"C_BTF34","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 1:29","13/09/2021 1:48","No","Yes","BTF34","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-B5","F"
"C_BTF42","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 10:06","14/09/2021 11:39","No","Yes","BTF42","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-B6","M"
"C_BTF50","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 9:00","15/09/2021 9:40","No","Yes","BTF50","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-B7","F"
"C_BTF3","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 11:00","7/09/2021 11:37","No","Yes","BTF3","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-C1","M"
"C_BTF43","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 12:15","14/09/2021 12:57","No","Yes","BTF43","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-C6","F"
"C_BTF51","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 9:18","15/09/2021 9:50","No","Yes","BTF51","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-C7","F"
"C_BTF59","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 12:13","15/09/2021 12:30","Yes","Yes","BTF59","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-C8","F"
"C_BTF13","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","10/09/2021 11:40","10/09/2021 12:00","No","Yes","BTF13","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-E2","F"
"C_BTF29","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:29","13/09/2021 12:11","No","Yes","BTF29","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-E4","F"
"C_BTF45","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 1:30","14/09/2021 1:53","No","Yes","BTF45","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-E6","M"
"C_BTF53","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 9:18","15/09/2021 10:26","No","Yes","BTF53","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-E7","M"
"C_BTF6","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 11:55","7/09/2021 12:56","No","Yes","BTF6","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-F1","M"
"C_BTF46","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 1:57","14/09/2021 2:16","No","Yes","BTF46","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-F6","M"
"C_BTF54","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 10:22","15/09/2021 10:52","Yes","Yes","BTF54","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-F7","F"
"C_BTF55","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 10:51","15/09/2021 11:12","No","Yes","BTF55","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-G7","M"
"C_BTF48","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 1:57","14/09/2021 2:43","No","Yes","BTF48","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-H6","F"
"C_NOV57","Central","2022 Dry Season","Dry","Breanna Williams","11 Mile Scrape","11MS","7/10/2022 8:19","7/10/2022 8:50","No","Yes","BTF226","Nov_2023",146.272037,-21.914979,"DPoep23-8916","1-A8","F"
"C_NOV82","Central","2022 Wet Season","Wet","Emily Drummond","Scrape on track SW of Ten Mile","SWTM","3/06/2022 1:35","3/06/2022 2:35","No","Yes","BTF145","Nov_2023",146.237146,-21.936713,"DPoep23-8916","1-B11","F"
"C_NOV67","Central","2022 Dry Season","Dry","Breanna Williams","Three-ways Fence Scrape","3WFS","11/10/2022 10:43","11/10/2022 11:17","No","Yes","BTF257","Nov_2023",146.345083,-21.95085,"DPoep23-8916","1-C9","F"
"C_NOV76","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Scrape on track SW of Ten Mile","SWTM","19/02/2022 11:07","19/02/2022 12:03","No","Yes","BTF132","Nov_2023",146.237151,-21.936662,"DPoep23-8916","1-D10","M"
"C_NOV52","Central","2022 Dry Season","Dry","Chays Ogston","4 Mile Bore","4MB","15/10/2022 7:25","15/10/2022 7:35","No","Yes","BTF287","Nov_2023",146.295371,-22.01643,"DPoep23-8916","1-D7","M"
"C_NOV77","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Scrape on track SW of Ten Mile","SWTM","19/02/2022 12:35","19/02/2022 13:40","No","Yes","BTF138","Nov_2023",146.237147,-21.936658,"DPoep23-8916","1-E10","M"
"C_NOV55","Central","2022 Dry Season","Dry","Chays Ogston","4 Mile Bore","4MB","15/10/2022 7:25","15/10/2022 8:09","No","Yes","BTF290","Nov_2023",146.295371,-22.01643,"DPoep23-8916","1-G7","M"
"C_NOV63","Central","2022 Dry Season","Dry","Chays Ogston","10 Mile Bore","10MB","15/10/2022 14:45","15/10/2022 15:07","Yes","Yes","BTF292","Nov_2023",146.255778,-21.920212,"DPoep23-8916","1-G8","F"
"C_NOV88","Central","2022 Wet Season","Wet","Emily Drummond","Number 2 Dam","N2D","5/06/2022 1:45","5/06/2022 2:35","No","Yes","BTF173","Nov_2023",146.307307,-21.947912,"DPoep23-8916","1-H11","M"
"C_NOV56","Central","2022 Dry Season","Dry","Chays Ogston","4 Mile Bore","4MB","15/10/2022 10:48","15/10/2022 11:18","No","Yes","BTF291","Nov_2023",146.295371,-22.01643,"DPoep23-8916","1-H7","F"
"C_NOV64","Central","2022 Dry Season","Dry","Breanna Williams","Spider Alley","SA","10/10/2022 13:28","10/10/2022 14:08","No","Yes","BTF249","Nov_2023",146.259335,-21.884075,"DPoep23-8916","1-H8","M"
"S_BTF19","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 1:45","11/09/2021 2:20","No","Yes","BTF19","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-C3","F"
"S_BTF21","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 3:20","11/09/2021 4:00","No","Yes","BTF21","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-E3","F"
"S_NOV01","South","2023 Wet Season","Wet","Chays Ogston","Carmichael Bore","CMB","11/05/2023 9:40","11/05/2023 10:20","No","Yes","Nov-01","Nov_2023",146.383108,-22.137289,"DPoep23-8916","1-A1","F"
"S_NOV03","South","2023 Wet Season","Wet","Chays Ogston","Carmichael Bore","CMB","11/05/2023 9:40","11/05/2023 10:35","No","Yes","Nov-03","Nov_2023",146.383108,-22.137289,"DPoep23-8916","1-C1","M"
"S_NOV04","South","2023 Wet Season","Wet","Chays Ogston","Carmichael Bore","CMB","11/05/2023 13:50","11/05/2023 14:05","No","Yes","Nov-04","Nov_2023",146.383108,-22.137289,"DPoep23-8916","1-D1","M"
"S_NOV44","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:38","14/10/2022 13:45","No","Yes","BTF277","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-D6","F"
"S_NOV37","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 15:20","12/10/2022 15:25","No","Yes","BTF266","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-E5","F"
"S_NOV38","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 15:20","12/10/2022 15:36","No","Yes","BTF268","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-F5","F"
"S_NOV46","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:38","14/10/2022 14:05","No","Yes","BTF279","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-F6","F"
"S_NOV40","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 12:32","14/10/2022 12:45","No","Yes","BTF273","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-H5","F"
"S_NOV48","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 14:36","14/10/2022 14:44","No","Yes","BTF281","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-H6","F"
