"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"N_NOV09","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 10:20","6/05/2023 10:36","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-A2","F"
"N_NOV17","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:58","6/05/2023 12:30","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-A3","F"
"N_NOV25","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","4/05/2023 14:45","4/05/2023 15:05","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-A4","F"
"N_NOV26","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","4/05/2023 14:45","4/05/2023 15:07","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-B4","F"
"N_NOV11","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:05","6/05/2023 11:16","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-C2","F"
"N_NOV19","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tommahawk tank","HPTT","6/05/2023 14:35","6/05/2023 14:45","No","Yes","<Null>","Nov_2023",146.330789,-21.735214,"DPoep23-8916","1-C3","F"
"N_NOV27","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","4/05/2023 11:28","4/05/2023 11:38","No","Yes","<Null>","Nov_2023",146.344922,-21.627626,"DPoep23-8916","1-C4","F"
"N_NOV12","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:05","6/05/2023 11:19","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-D2","M"
"N_NOV20","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tommahawk tank","HPTT","6/05/2023 14:50","6/05/2023 14:58","No","Yes","<Null>","Nov_2023",146.330789,-21.735214,"DPoep23-8916","1-D3","F"
"N_NOV28","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","4/05/2023 11:35","4/05/2023 11:48","No","Yes","<Null>","Nov_2023",146.344922,-21.627626,"DPoep23-8916","1-D4","F"
"N_NOV13","North","2023 Wet Season","Wet","Breanna Williams","Hyde park- tank on the hill","HPHT","6/05/2023 11:32","6/05/2023 11:43","No","Yes","<Null>","Nov_2023",146.344943,-21.62763,"DPoep23-8916","1-E2","M"
