"N_NOV09" "N_NOV17" "N_NOV25" "N_NOV26" "N_NOV11" "N_NOV19" "N_NOV27" "N_NOV12" "N_NOV20" "N_NOV28" "N_NOV13" "N_NOV21" "N_NOV29" "N_NOV22" "N_NOV30" "N_NOV15" "N_NOV23" "N_NOV31" "N_NOV08" "N_NOV32" "C_BTF9" "C_BTF41" "C_BTF49" "C_BTF57" "C_BTF10" "C_BTF26" "C_BTF58" "C_BTF11" "C_BTF27" "C_BTF35" "C_BTF12" "C_BTF28" "C_BTF36" "C_BTF44" "C_BTF52" "C_BTF60" "C_BTF5" "C_BTF37" "C_BTF61" "C_BTF14" "C_BTF30" "C_BTF38" "C_BTF62" "C_BTF7" "C_BTF15" "C_BTF31" "C_BTF39" "C_BTF47" "C_BTF63" "C_BTF8" "C_BTF16" "C_BTF24" "C_BTF32" "C_BTF40" "C_BTF56" "C_BTF64" "C_NOV73" "C_NOV81" "C_NOV89" "C_NOV65" "C_NOV74" "C_NOV90" "C_NOV58" "C_NOV66" "C_NOV83" "C_NOV91" "C_NOV59" "C_NOV84" "C_NOV92" "C_NOV60" "C_NOV68" "C_NOV85" "C_NOV93" "C_NOV53" "C_NOV61" "C_NOV69" "C_NOV78" "C_NOV86" "C_NOV94" "C_NOV54" "C_NOV62" "C_NOV70" "C_NOV79" "C_NOV87" "C_NOV71" "C_NOV80" "C_NOV72" "S_BTF17" "S_BTF18" "S_BTF20" "S_BTF22" "S_BTF23" "S_NOV33" "S_NOV41" "S_NOV49" "S_NOV02" "S_NOV34" "S_NOV42" "S_NOV50" "S_NOV35" "S_NOV43" "S_NOV51" "S_NOV36" "S_NOV05" "S_NOV45" "S_NOV39" "S_NOV47"
"N_NOV09" 0 0.663563469057919 0.673837816122327 0.649042196069928 0.665408592551466 0.657053710545358 0.666070096823099 0.667775863180972 0.662108238198471 0.638474664041588 0.658332789594799 0.664221817991741 0.632357600907326 0.657240666755059 0.655847863462456 0.626742018270776 0.670425719114965 0.662959288275887 0.667331899807088 0.661763220028697 0.657953278094763 0.669882636448421 0.668334346000923 0.683531951408235 0.664497295453914 0.66778487487997 0.66589759237005 0.669473865137209 0.672404931823483 0.669434678090117 0.671230367554518 0.669468544255242 0.665447749447527 0.664736725109865 0.669838471103224 0.658783735516381 0.672587850536673 0.673414847592172 0.667471278533262 0.690224243191234 0.671122815131036 0.662458245737991 0.674011063842216 0.666075550790741 0.675280177330788 0.669071305105293 0.666391098552194 0.666655189728139 0.679128372137036 0.668322329181675 0.667062064613555 0.662183921363033 0.672842573919692 0.677334010667683 0.663963033621459 0.674190473735254 0.665098989608606 0.666557979563242 0.660905305643936 0.665898068786316 0.678495220268494 0.664048224162582 0.669369163804748 0.670738300562455 0.670369256077536 0.670079292447217 0.670591937974472 0.666678129988337 0.668012445516291 0.658547155051995 0.666746773552429 0.670853706140384 0.664246231651594 0.667608335381715 0.673480765224905 0.661476818825264 0.667722136839383 0.663915690443076 0.667166720622092 0.682808426728319 0.673545026543588 0.665341506703073 0.664563231280645 0.664929006881516 0.663872707923353 0.684394717467866 0.672303924271572 0.677634036283653 0.672330556058521 0.674497272157734 0.695135666554179 0.678569419650414 0.675279758306129 0.675631822515343 0.672345292815443 0.657730183765521 0.670451100409811 0.666638015382861 0.665701381918637 0.692193781686139 0.667308133023544 0.679674938956615 0.677946859573979 0.681972008691202 0.663260587123993 0.675718275024916 0.671381907027309
"N_NOV17" 0.663563469057919 0 0.679374008838277 0.668678510138304 0.662292619416107 0.661756406571172 0.669799634213937 0.667775178684479 0.665868328531175 0.652681795153589 0.660427966208975 0.662993544131796 0.663430750368055 0.664684920158598 0.661024491124601 0.663888446294182 0.673092188564039 0.659571136320389 0.673052951300721 0.670681836934662 0.666053766129121 0.671442864252653 0.660937031596651 0.68847538333461 0.669443813612159 0.667113897754801 0.67825936656361 0.66815953238944 0.668105259551828 0.674682620857375 0.666958759136535 0.676461624818117 0.669897758895875 0.659416869574677 0.664620115814039 0.671455397505004 0.676549295556211 0.673987311489848 0.666195430676618 0.688566714732869 0.678583573893678 0.676301552424018 0.679338504909037 0.666781291014871 0.670683942722476 0.665765994049893 0.679529364676888 0.659219319216384 0.673142352644783 0.666809934170237 0.668770875732405 0.671334235066568 0.671666272456346 0.668003023914311 0.668296304445761 0.67071404618948 0.668212861244511 0.666186186123769 0.668003600777192 0.670925393608005 0.685503628752422 0.675033408871578 0.664069448217282 0.674876644465156 0.668010782881558 0.675287898384435 0.683341644704192 0.674575085807171 0.672928512754756 0.664692170015813 0.668340154131887 0.664940966505861 0.668402310824523 0.664752366283651 0.66562339612148 0.674806559330878 0.671228114353884 0.660937582508748 0.668336412924726 0.684731467113314 0.674028205858297 0.671283807626414 0.665840561434022 0.677839867894536 0.673438620912899 0.682423433325299 0.674450206579725 0.673090510851481 0.67565063847513 0.680796249358364 0.691559734779226 0.679128272715747 0.667903143772318 0.673759186172569 0.668344293505623 0.666895690915639 0.672928512754756 0.674649210188545 0.6695127824649 0.694311078418491 0.668154023140824 0.67582595414652 0.672277328066765 0.688097044044367 0.66463917603961 0.673367863805151 0.670074058156459
"N_NOV25" 0.673837816122327 0.679374008838277 0 0.673363097504226 0.670774198270489 0.666884570949431 0.672272412085648 0.658596863314297 0.671020589880058 0.66658053736038 0.645137849435509 0.673768911296244 0.672685295370673 0.671497461305548 0.669690113772668 0.663161106785157 0.674982499454946 0.66379622663892 0.681525853244804 0.666574839301676 0.66669531277976 0.673230568012821 0.675752492796727 0.654541347444671 0.672036355807471 0.676012810543767 0.667211069225536 0.675792185779983 0.672348798717565 0.665885407422418 0.67781108291155 0.665978884922986 0.675425495704835 0.667770191802941 0.679677406734204 0.677948129319628 0.66513259746662 0.679750862080148 0.68257763473163 0.662227415999725 0.682539276417134 0.683109638709792 0.675938556468237 0.671205015948387 0.675191357343969 0.684789784170012 0.677684391461208 0.674733661642775 0.684239292331607 0.657776918182329 0.656863484733706 0.675050154320053 0.675197354504433 0.662882144728484 0.675620805852517 0.677333089543265 0.668459269558617 0.667541118902683 0.659959854183562 0.677732924784671 0.681311062492402 0.675686043450581 0.671856235687451 0.672917900586079 0.675223550155257 0.68150407654981 0.690851545065891 0.654023286670871 0.67363392766449 0.672927549562886 0.657478849518643 0.674973455334576 0.676220872029522 0.674046501609956 0.682814565593111 0.672645040987822 0.675906535914823 0.673592326754296 0.650378348028108 0.653799412609571 0.683193863135165 0.678349563235328 0.669574838771595 0.669484502385705 0.674501419298911 0.652651426231036 0.67582667085261 0.686212662595898 0.657771372277501 0.685879076460918 0.660886143900706 0.66158109902927 0.676427128284283 0.680125373947978 0.67243433019437 0.674153504993358 0.677229573691494 0.678053599878505 0.671407939933621 0.66331872975544 0.677698717413794 0.68315362474968 0.679490866263645 0.655194930552986 0.678305075863074 0.682598293453876 0.658665488463795
"N_NOV26" 0.649042196069928 0.668678510138304 0.673363097504226 0 0.665821419760583 0.658950658403955 0.660802895755341 0.667359652663306 0.670056241981786 0.656059969019898 0.643918309529177 0.660575417041673 0.657603032415535 0.659675991523948 0.66234658679187 0.663017518874695 0.66849433923069 0.656757657076263 0.662488920350443 0.658943773437252 0.652772629458799 0.658558985776081 0.659666801919974 0.681938070857897 0.675276089053041 0.657438660971409 0.673818745861447 0.660539408860835 0.668022171928815 0.671748167632549 0.657308564687376 0.662799497793479 0.657502308336423 0.657340251073302 0.667010717196183 0.662000616632738 0.668285326507375 0.670171580025706 0.659423756348454 0.68810312138926 0.666752749263277 0.672587765035893 0.663933323286065 0.66633345682995 0.674540469973455 0.670023709425481 0.671153691484937 0.666994262777699 0.677251271066963 0.660597227855245 0.664913782514365 0.671684852878248 0.663740705500221 0.678454878247019 0.659963316694201 0.661329117483464 0.669995365701391 0.660843133656905 0.655516187446506 0.666327873866816 0.674604679748486 0.666959302164534 0.672752565671559 0.663460011430792 0.670699774640088 0.671048802202692 0.66912191559613 0.670340356553227 0.66795700710415 0.659814312997311 0.667794626397198 0.668625787225539 0.663406043677377 0.660546909705366 0.666391127631683 0.660725101088389 0.667694822356659 0.658078316503002 0.664804409269331 0.681743508429673 0.670350110022802 0.657397807382948 0.659980257296143 0.668940002445845 0.674655154975261 0.679829058383126 0.667929228845381 0.675555263359346 0.665608355385223 0.667069232774509 0.68756171339554 0.679092574099766 0.671700602326859 0.670108709972193 0.6655402096587 0.654954156653485 0.669833801458385 0.664165418009203 0.664079763357136 0.688025661109255 0.661730567029465 0.672734645053209 0.668765217496087 0.682749391800234 0.657903374432479 0.665266812884211 0.668295847450943
"N_NOV11" 0.665408592551466 0.662292619416107 0.670774198270489 0.665821419760583 0 0.665908346444676 0.672247811335823 0.670922769502841 0.665418888355718 0.658090275306519 0.654338554602737 0.66217147124846 0.656574668621091 0.660594374798507 0.66003920665783 0.66241563067535 0.671422249962667 0.647243057296716 0.674961030646646 0.66124251554959 0.66354064383496 0.670194119341594 0.664528250824034 0.686406472983644 0.673828709194011 0.658812384659845 0.672829087508091 0.667039123780787 0.666999755946756 0.677908615534315 0.664000908546184 0.674695960796925 0.667763238899492 0.661199582924209 0.670210176473884 0.662685432448047 0.674232259563881 0.67413367312573 0.663239585785372 0.687639209265444 0.66651184992889 0.668761383551917 0.669443910629114 0.664044972423621 0.670229971874954 0.664131901587983 0.676307741344161 0.659350938741247 0.680756940919695 0.667269011631964 0.665593308902786 0.672359342446517 0.668523967897466 0.671894023004157 0.667296856924279 0.667090251074499 0.668689399792156 0.664797948763617 0.664538266236488 0.671848054760063 0.678123140275779 0.674876644465156 0.666069356738224 0.665954673399723 0.666173387526491 0.672137089819231 0.675842364923649 0.674134925392137 0.675015961854109 0.659600623596891 0.668707374024502 0.666465999012183 0.668317855986325 0.666448164721593 0.674459601821919 0.674227698381689 0.676629887316651 0.656632431936464 0.670349460546142 0.678556969192389 0.677299925260023 0.666534778936239 0.662572674305215 0.676389242094831 0.667934002264994 0.679750975321244 0.675702704023603 0.667870564834464 0.673367863805151 0.673199237385581 0.684888172400758 0.677802767742339 0.677723195985873 0.674677684508365 0.668815407707371 0.656901492425233 0.671335702016619 0.667251326343807 0.674339308814996 0.693627474852244 0.666030099167944 0.680022749050735 0.668442843306473 0.680439158264623 0.673976826719433 0.673376143372763 0.660689127027718
"N_NOV19" 0.657053710545358 0.661756406571172 0.666884570949431 0.658950658403955 0.665908346444676 0 0.65880839000021 0.670513170704284 0.647287665522917 0.65702621053853 0.663192312145991 0.659704486066717 0.660047460871118 0.661428064197677 0.652975001233528 0.665760128561456 0.671701286482188 0.656733002020355 0.668500943531841 0.652861684027715 0.654466016654467 0.664694429310189 0.655539586146425 0.678736064625053 0.671058672141543 0.643029319827543 0.666838678607158 0.66352401403567 0.662901036511748 0.669652992445277 0.663557280082894 0.665289823671442 0.66780370653981 0.661385620668094 0.670523086941093 0.661099715884315 0.671710055516547 0.666058799335871 0.668906295340298 0.685554781699877 0.663407928140271 0.66719531774568 0.66414761506967 0.667131188845895 0.665524846703113 0.670276341854119 0.666742899699568 0.66342051079922 0.674034527666409 0.661967879526457 0.66229533655563 0.664690841643021 0.664849976213816 0.669047309068867 0.663536394889055 0.668706683489531 0.660978973858848 0.663937469549335 0.666901383260816 0.667720830697494 0.674762313623754 0.674468802370519 0.658407874965134 0.659779894400097 0.665134750480958 0.665220309262669 0.672497581487281 0.661782216667559 0.664777608903589 0.657487001108392 0.661762147864366 0.675191353825203 0.673377392366226 0.664409661766059 0.665513516371563 0.657670851646867 0.668106150587857 0.665203374133499 0.665912795282827 0.684308370268357 0.670466150401996 0.670181915817518 0.662133876302522 0.663766441716266 0.670591937974472 0.677634545253145 0.67038651847571 0.675104377727001 0.669301677768218 0.677043513919706 0.684386620233021 0.67100283956382 0.665903440149981 0.673452296450694 0.670340356553227 0.656961012169754 0.675682742500531 0.668092436041104 0.662696988483824 0.693506121539788 0.664737889462166 0.677149813073916 0.664983532207161 0.673539287951188 0.667745137550257 0.670043638154497 0.660262718601883
"N_NOV27" 0.666070096823099 0.669799634213937 0.672272412085648 0.660802895755341 0.672247811335823 0.65880839000021 0 0.655820772254247 0.668408869852797 0.630426572718843 0.652634878680679 0.671094271157473 0.651222122212722 0.671461308682133 0.65870585477322 0.62651274773781 0.675292374526773 0.638047030568099 0.666012616130116 0.673005736278036 0.666248465720079 0.670979924313428 0.664483844169136 0.688695717268029 0.675491420962409 0.666316723938502 0.680517689483341 0.674477787529996 0.665184608911745 0.678066422678377 0.677893325387571 0.674551905727588 0.671887566208657 0.669466545878716 0.676853092794738 0.673193465392881 0.680165534483938 0.67186349820785 0.666022677464177 0.68914684718515 0.674287914714188 0.678070593331797 0.669899600891457 0.677212766464832 0.674353537926803 0.667010504260658 0.674877371868694 0.674366929709633 0.678938273218788 0.666173387526491 0.669188711316274 0.676710304560557 0.670994806862918 0.682941744244583 0.674125739948386 0.673716408551068 0.671071566777319 0.663376673266892 0.662977040791068 0.672585410204993 0.679061776724892 0.673198244418878 0.667606586781754 0.666414388991661 0.67536199349373 0.678458952537565 0.68021520953117 0.676558910046189 0.671240498167861 0.66040690935258 0.669184046768645 0.671163433555276 0.666569146685305 0.670309117705839 0.671199419684141 0.668582847873558 0.668996845342166 0.665049251284196 0.669201900816392 0.683953014974519 0.670651135982881 0.676277325280618 0.675192103886533 0.674148900608038 0.673949304705795 0.689250953582862 0.667715250223647 0.67433899227297 0.677477505844371 0.680262837242897 0.690732289506905 0.679908230236584 0.673304414821576 0.673253343071601 0.670702430574411 0.668925000000032 0.672008303159977 0.673703808476862 0.675294855666527 0.695424752109147 0.671227554043974 0.680154670112569 0.682431615697762 0.678999486844201 0.665403452031439 0.673795527945555 0.672295536082975
"N_NOV12" 0.667775863180972 0.667775178684479 0.658596863314297 0.667359652663306 0.670922769502841 0.670513170704284 0.655820772254247 0 0.666288474566231 0.641036531760512 0.634003243207835 0.675345126559076 0.63976315653296 0.667479012329216 0.660765471282799 0.655267153820305 0.678398802218272 0.665061178160455 0.655170357795814 0.666260038591833 0.669466948753679 0.67290726631449 0.659774353701474 0.66222354686469 0.669717736431946 0.662141545602616 0.666838253591153 0.667243533559783 0.679023797974839 0.674593691125361 0.670861300674023 0.664989774326527 0.65857298140539 0.667715899527322 0.673792982605747 0.679544887618514 0.666621031134788 0.679009865897614 0.671563798388703 0.679074942624555 0.677024309175606 0.675539709112664 0.672805211658177 0.670756422126206 0.677834389404565 0.677404485125754 0.666081778881746 0.673778297861839 0.673356349491405 0.663316677015693 0.671060721626021 0.675404867647178 0.672753199376434 0.66869777006838 0.674805187141022 0.669703940774925 0.673073866793751 0.670728518923237 0.663948638185123 0.672444546781486 0.686227251309772 0.664370603080232 0.6695110691967 0.669788575939542 0.673394725864003 0.681340196374355 0.67976665383651 0.661421624275569 0.682443395449864 0.659117863999616 0.663715129219826 0.668675253341628 0.670484978551612 0.668069459772984 0.678612245512754 0.670485438800573 0.673235699522061 0.66684383863376 0.659927158575513 0.661919650789531 0.667593093424119 0.673852938787608 0.669282870272025 0.674989748531392 0.670876694388993 0.663733535232132 0.671086465940061 0.673695157659454 0.665188277664365 0.679961648938551 0.675179349200225 0.664232478983607 0.672865967524917 0.680620212731738 0.666185889118256 0.665115724630309 0.673273826915317 0.670843399247963 0.671204487408663 0.674185968930972 0.670319349801716 0.678987961787067 0.680569787081531 0.666076282643698 0.6717873586596 0.671924115036447 0.659056835507225
"N_NOV20" 0.662108238198471 0.665868328531175 0.671020589880058 0.670056241981786 0.665418888355718 0.647287665522917 0.668408869852797 0.666288474566231 0 0.654382629982569 0.661145200745622 0.666115929962449 0.661668952342982 0.656410891471534 0.66055072681298 0.670181036013113 0.671199941324104 0.664000415454793 0.661825159849154 0.663665866678635 0.658390364329948 0.669703259330475 0.663771568156783 0.680031207973792 0.664869106751232 0.662036920965482 0.677452476016549 0.670258486442661 0.667160736461508 0.66776391925286 0.669083565338197 0.665018382707732 0.666436599134997 0.658689839864683 0.671112646166631 0.660741238013091 0.676576075657382 0.668727663516115 0.666493932717228 0.686128908780475 0.662724736230751 0.676225161523292 0.67371784888803 0.673730601702515 0.670232185024968 0.672246329952401 0.684225496613158 0.667453395913713 0.673807496863239 0.665707264101114 0.664505368801721 0.664192812992207 0.667424751713712 0.675427355263731 0.661762861853798 0.673372115235881 0.667613355670142 0.659353283756511 0.661431329926622 0.669078179884392 0.681605822530695 0.671386954885497 0.663534812847034 0.670902566385941 0.670219775676277 0.664505368801721 0.677223819345749 0.66860822651358 0.676091394015307 0.666402519721694 0.657160827530314 0.667234372078876 0.673460671725625 0.663391550276656 0.675363751933344 0.679190765842303 0.679256918544052 0.660754453446107 0.663510304583491 0.68489153565581 0.673000010752435 0.663688125335118 0.657325370029351 0.669978698241138 0.665356026807608 0.676235187433041 0.663823480061462 0.67466431544094 0.674292817084181 0.674776451504191 0.692183276115055 0.676452892244164 0.664913782514365 0.675725974827737 0.668536059659499 0.663181751183044 0.672233034189301 0.665995118189948 0.669276500769868 0.693194478429522 0.671199941324104 0.677842655391993 0.675332410603 0.679061503619898 0.665153872853892 0.669445174071744 0.663115138128357
"N_NOV28" 0.638474664041588 0.652681795153589 0.66658053736038 0.656059969019898 0.658090275306519 0.65702621053853 0.630426572718843 0.641036531760512 0.654382629982569 0 0.638226853701653 0.659262489455264 0.652537104662723 0.659480482154762 0.633980310800547 0.604355475135676 0.660871809445904 0.649014365633856 0.645826339601832 0.649274313361278 0.659682289357207 0.664362761771049 0.656688732193995 0.675569944196567 0.664051093984256 0.662547293289571 0.669491477378853 0.668665139372416 0.659378199195572 0.66436240612049 0.657232296838785 0.663243990981124 0.665077141434594 0.65712276398782 0.663424541461233 0.663416312562364 0.665205185633898 0.662319157707722 0.668891395729808 0.687398531473139 0.667504007808748 0.669607716659218 0.662231839289391 0.664128750709236 0.664390420438386 0.663547216114652 0.663808830218176 0.65805355614769 0.663527851109493 0.65811830417852 0.659296450281102 0.660925190230464 0.658001152917971 0.660844138844713 0.659314677263734 0.659435630138583 0.661037182354075 0.663577758290446 0.658014134287047 0.658451401711937 0.675710559190261 0.675609644843431 0.660270804150222 0.656815290141351 0.66710255400196 0.665673179767216 0.670568501773134 0.670157960934826 0.659564353198319 0.653246483315582 0.654105909203606 0.664989515162744 0.658015200745831 0.657598785636763 0.666867453468627 0.655359448401981 0.662440628439181 0.66111245471154 0.65727926236965 0.675213805330127 0.659389563221104 0.66270192259415 0.659784821553169 0.663107037269856 0.660887360993659 0.673128853268416 0.655863120666797 0.666218672681223 0.663158643477167 0.658834214021334 0.682694513767651 0.663674516727943 0.661554987418121 0.662358337306669 0.670617471222589 0.653526006538864 0.66434381929973 0.664327024335425 0.665803801421076 0.677015932113012 0.652027143306303 0.671229804574745 0.671649309852092 0.669999490161996 0.657386223191786 0.669313580960574 0.662855368016878
