"N_NOV09" "N_NOV17" "N_NOV25" "N_NOV26" "N_NOV11" "N_NOV19" "N_NOV27" "N_NOV12" "N_NOV20" "N_NOV28" "N_NOV13" "N_NOV21" "N_NOV29" "N_NOV22" "N_NOV30" "N_NOV15" "N_NOV23" "N_NOV31" "N_NOV08" "N_NOV32" "C_BTF57" "C_BTF26" "C_BTF58" "C_BTF27" "C_BTF35" "C_BTF12" "C_BTF28" "C_BTF36" "C_BTF52" "C_BTF60" "C_BTF37" "C_BTF61" "C_BTF14" "C_BTF30" "C_BTF62" "C_BTF7" "C_BTF15" "C_BTF31" "C_BTF39" "C_BTF47" "C_BTF63" "C_BTF8" "C_BTF16" "C_BTF32" "C_BTF40" "C_BTF56" "C_BTF64" "C_NOV73" "C_NOV81" "C_NOV89" "C_NOV65" "C_NOV74" "C_NOV90" "C_NOV58" "C_NOV66" "C_NOV83" "C_NOV91" "C_NOV59" "C_NOV84" "C_NOV92" "C_NOV60" "C_NOV68" "C_NOV85" "C_NOV93" "C_NOV53" "C_NOV61" "C_NOV69" "C_NOV78" "C_NOV86" "C_NOV94" "C_NOV54" "C_NOV62" "C_NOV70" "C_NOV79" "C_NOV87" "C_NOV71" "C_NOV80" "C_NOV72" "S_BTF17" "S_BTF18" "S_BTF20" "S_BTF22" "S_BTF23" "S_NOV33" "S_NOV41" "S_NOV49" "S_NOV02" "S_NOV34" "S_NOV42" "S_NOV50" "S_NOV35" "S_NOV43" "S_NOV51" "S_NOV36" "S_NOV05" "S_NOV45" "S_NOV39" "S_NOV47"
"N_NOV09" 0 0.663906130309292 0.674209153377829 0.649400362446678 0.665775512123078 0.657415998096793 0.666437027079176 0.66814299996257 0.66247358971652 0.638826974546557 0.658695058319201 0.664541671670097 0.632706007325443 0.657580367000035 0.656209660683995 0.627087164310991 0.670794743895415 0.66332495807108 0.667699778500855 0.662128230106109 0.683884196704178 0.668153104781061 0.666264579222031 0.672729373305244 0.669804046862599 0.67159998782898 0.669837118252886 0.665815019706297 0.670207147276223 0.659146576844003 0.673745543457847 0.667840072692782 0.690609386134334 0.671492427063299 0.674341565592098 0.666442661008508 0.675630529382444 0.669440015641017 0.666742948010113 0.667022746028829 0.679509049505572 0.668690652345034 0.667406461386261 0.673213618312087 0.677684434412305 0.664305618151566 0.674566329080817 0.6654655110883 0.666924295716229 0.661268839942958 0.666264828507774 0.678846341656266 0.664413864344002 0.669738140151273 0.671107955206422 0.670738300562455 0.670448253473151 0.670961690260049 0.667045268794984 0.66838036978268 0.658910065959228 0.667113344550393 0.671223042734953 0.664589576441825 0.667976899807212 0.673828428036613 0.661841068202442 0.668090433688589 0.664281282811335 0.66753529559427 0.683183699318743 0.673916330335044 0.66570785899552 0.664929608942701 0.665294905385963 0.664238629245295 0.684770784378569 0.67265124253841 0.677984084022687 0.672701318094591 0.674846300523736 0.695496095725058 0.67894403532709 0.675651736442612 0.676004045846391 0.672715909693484 0.658092320163924 0.670820393249937 0.66698207480091 0.666045644951381 0.692551597053374 0.667675517612946 0.680050657580642 0.678320332600281 0.682348398928172 0.663626297035095 0.676091316679182 0.671751890885123
"N_NOV17" 0.663906130309292 0 0.679724762131735 0.669024241256042 0.662634812894022 0.66209825234855 0.670145349169537 0.668119138588484 0.666212582950505 0.653019208866303 0.660768398867648 0.663289721740553 0.663773366674156 0.66500539367249 0.661366170616977 0.664230968775374 0.673439196984556 0.65991201759609 0.673400584685452 0.671028388829298 0.688806256147871 0.667458534807162 0.678609544379579 0.668427493133581 0.675031408229257 0.667302889368987 0.676810538218285 0.670244263734075 0.664962756511036 0.671801824032001 0.674294394132588 0.666540139351443 0.688926699447037 0.678933678087724 0.679647527461675 0.667125519131113 0.671031669588235 0.666109769005615 0.67986397871375 0.659559924780961 0.67349587525339 0.667154153379691 0.669092831401144 0.672013237407144 0.66832540810126 0.668617921055841 0.671064404406435 0.668557923421521 0.666529280438177 0.668347701969732 0.67127147526599 0.685834595795967 0.67538163350597 0.664412465224721 0.675225099806239 0.66835526633353 0.675636254300504 0.683694738121391 0.674923074009737 0.673275794871466 0.665035295997549 0.668684405045361 0.665283890476933 0.668724576654162 0.665096067442174 0.66594388063108 0.675154643000237 0.671574876847621 0.661278535630476 0.668682253265038 0.68508401564635 0.674376295020537 0.671630074164148 0.666184398565864 0.678189396029916 0.673786429544336 0.682774793518139 0.674798369834392 0.673414858343954 0.675999661643553 0.681124830323164 0.691894156279443 0.679479430949135 0.668247832417739 0.674107016650991 0.668689399792156 0.667239670284959 0.673275794871466 0.674974040449229 0.669835761669603 0.694645882113004 0.668498675250166 0.676175935675984 0.672624393530884 0.688452839778536 0.664982487333036 0.673716091507904 0.670419986174971
"N_NOV25" 0.674209153377829 0.679724762131735 0 0.673734608206975 0.671144025561589 0.667252051110092 0.672642682633286 0.658958878932298 0.671390655034278 0.666948255240981 0.645492783978245 0.674093206180705 0.673056023034732 0.671844482462528 0.67005939426049 0.663526308771555 0.675353930216008 0.664162307585893 0.681901504839123 0.666942376631583 0.654878490821994 0.676385551800592 0.667578577416017 0.672673257844445 0.666252716507744 0.678184275552577 0.666345436796586 0.675798221398212 0.680051395293619 0.678321269013139 0.680084482155242 0.682954749475721 0.662596859496244 0.682915046469091 0.676269910519812 0.671574876847621 0.675541517976014 0.685167000908209 0.678042027451832 0.675105748890546 0.684622807694071 0.658139304777236 0.657202546070864 0.675569646133523 0.663225091693704 0.675969309532489 0.677710696869903 0.668827592071342 0.667907924957647 0.660322743676478 0.678106100076097 0.681663616752733 0.676057963689808 0.672226608502621 0.673288730896287 0.675595266974029 0.681879302497881 0.69123244188053 0.65438328300289 0.674004871485369 0.673298283038878 0.657840225760023 0.675344983341427 0.676570358265076 0.674418466321503 0.68316699816424 0.673015363796683 0.676279269953445 0.673963145569476 0.650737673109679 0.654158692434797 0.6835703822396 0.678722975257407 0.669943928492325 0.669852933040206 0.674873122251583 0.653010025942836 0.676175809002082 0.686567141825357 0.658133980558779 0.686233921058333 0.661228743573231 0.661946210038867 0.676799712795203 0.680500047092467 0.672804868495086 0.674524632742357 0.677602420501759 0.678403406577435 0.671755034409736 0.663661547872159 0.678071668514412 0.68353113593398 0.679865215643335 0.655556517186776 0.678679029485782 0.682975107334883 0.659028364595428
"N_NOV26" 0.649400362446678 0.669024241256042 0.673734608206975 0 0.666189023056917 0.659314468318989 0.661167351016834 0.667727065616698 0.670426413264484 0.656422408088506 0.644273109919502 0.660893953065372 0.657965998102018 0.660017468205357 0.662712448360495 0.66338317036747 0.668862833347687 0.657120381388114 0.662854557588546 0.659307629772786 0.682289978374666 0.657801586012007 0.674190559241025 0.668345032803363 0.6721193248776 0.657671042726748 0.663164903098774 0.657865745002516 0.667378292187062 0.662365732478012 0.670500983623884 0.65978858279758 0.68848753657086 0.667120410029713 0.66425931729182 0.666701165187566 0.674890947388453 0.670393428702851 0.671508530181361 0.667362666154465 0.677631455657186 0.660961745597348 0.665257519737708 0.664107210611254 0.678806463946239 0.660304212729277 0.661698291536351 0.670365094840769 0.661206908890487 0.655877204236889 0.666695401679575 0.674954246062514 0.667327076828361 0.673123970056028 0.663826108857703 0.671069535414998 0.671418857405398 0.669491392109982 0.670709919178807 0.66832540810126 0.660178398726768 0.668162304127132 0.668994328406741 0.663749427494265 0.660911978837045 0.666735604846538 0.66108931256845 0.668063587215898 0.658441143996593 0.665172161701975 0.682118685459339 0.670720085965435 0.657760259681957 0.660344560232763 0.669308666018854 0.675027506934606 0.680203130387983 0.668274810795366 0.675904718644391 0.665975891777331 0.667414870494091 0.687918758501079 0.67946794485964 0.672071170234408 0.670478399654806 0.665907404285069 0.655315286548816 0.670203263042716 0.664508744689154 0.664423709531132 0.688381812799629 0.662095408169261 0.673107041785329 0.669134216885497 0.683126679605115 0.658266606136857 0.66563464306665 0.668664638730968
"N_NOV11" 0.665775512123078 0.662634812894022 0.671144025561589 0.666189023056917 0 0.666275693512442 0.672618323419805 0.671291712488934 0.665786168024007 0.658453585126647 0.654698724468789 0.662490359526635 0.656936741947636 0.660935926124155 0.660403491863436 0.662780572858905 0.67179184869703 0.647600181570966 0.675333268938087 0.661607238420979 0.686760321176053 0.659175792194706 0.673199996625297 0.667321833590583 0.67828286640295 0.664366698910547 0.675067591759171 0.668131888842085 0.670579184169549 0.663050649027134 0.674464814909981 0.663606295101267 0.688023016849512 0.666878998259387 0.669772241871443 0.664411064366488 0.670577848144615 0.664497965775398 0.676664952450958 0.659714718597194 0.681138798720538 0.667636957075769 0.665937136721965 0.668892681592728 0.672241872280917 0.667641351203181 0.667462277733504 0.669058103052534 0.665163573952135 0.664903974878732 0.672218244500811 0.678474262931873 0.675248349357759 0.666436741960167 0.66632186878135 0.666540374684213 0.672507362311064 0.676215217784188 0.674506247329074 0.675387897118562 0.659964240285808 0.669075199890614 0.666833071535166 0.668663400632744 0.666816291886155 0.674807937756011 0.674599173725786 0.67700320038633 0.656994138185439 0.670719947322914 0.678930110253965 0.677673504949356 0.666901965180278 0.662938105659743 0.676761651891578 0.668302365178568 0.680124695904942 0.676052018742886 0.668215735442465 0.673739325901424 0.673547786450605 0.68524346016258 0.678177011827859 0.678096803068266 0.675049510210059 0.66918420586482 0.657263297061229 0.67170560944989 0.667595963176013 0.674688303598558 0.693986229151795 0.666396906354868 0.680398763870207 0.668811309037374 0.680814909882004 0.67434867603143 0.673748071676942 0.661053393975877
"N_NOV19" 0.657415998096793 0.66209825234855 0.667252051110092 0.659314468318989 0.666275693512442 0 0.659171444868298 0.670881888450437 0.647644863682419 0.657388857846693 0.663557280082894 0.660022164439785 0.66041129881558 0.661770046571076 0.653335238486631 0.666126888059629 0.672071064262182 0.657095337497312 0.668869619111242 0.653221908447995 0.679085934610637 0.643383947909004 0.66720608286567 0.663220980492563 0.670022609138217 0.663922851231118 0.665656147506026 0.668172480617223 0.670892216111326 0.661463857865045 0.666385905792279 0.669275984512751 0.685937479256276 0.663773366674156 0.664473303085706 0.667498906216436 0.665870233018699 0.670645741905227 0.667095083666218 0.663786485457202 0.674412614655988 0.662332826355655 0.662637319402507 0.665216714144878 0.669393612845952 0.663878853525694 0.669079611609695 0.66134337549847 0.664302470934547 0.667268266184049 0.66808867032363 0.675111647856152 0.674840282634068 0.658770959227908 0.660143634980081 0.665500988928687 0.665586746147452 0.672868563493976 0.662146684389897 0.66514382714313 0.657849427650686 0.662125953360711 0.67556312966937 0.673725528977123 0.66477658691443 0.665857113645923 0.658033005226982 0.66847468465744 0.665569726012645 0.666280779172366 0.684684570610281 0.670835807852769 0.670550933350232 0.662499040469975 0.664131901587983 0.670961690260049 0.678006999857841 0.670733037142422 0.675453238853235 0.669670769505249 0.67739390822642 0.684741598707537 0.671373329116276 0.666270379668198 0.67382344682136 0.670709919178807 0.657322799771855 0.676054993884737 0.668437364783192 0.66303986330894 0.693864738880763 0.665103984981843 0.677524213441495 0.665350091062096 0.67391120365482 0.668113472481419 0.670413674707986 0.660626625053818
"N_NOV27" 0.666437027079176 0.670145349169537 0.672642682633286 0.661167351016834 0.672618323419805 0.659171444868298 0 0.656181138115498 0.668777393034401 0.630774250436003 0.65299374041853 0.671417212082782 0.65158079879604 0.671808167754091 0.659069028256235 0.626857696283003 0.675663924692176 0.638398692754257 0.666379565257752 0.673376768343312 0.689050428633214 0.666683891192672 0.680892398130076 0.665505455942453 0.678440373581023 0.678266486263771 0.674923074009737 0.672258160592163 0.677225373657699 0.673563962650094 0.672193085423262 0.666390442637131 0.68953120128485 0.674659039841544 0.670227833662787 0.677585809399666 0.674703191524293 0.6673778513926 0.675233526504213 0.674738635362612 0.679318630824657 0.666540374684213 0.669534063411986 0.671364602871625 0.683294947370016 0.674473400699324 0.674091816483551 0.671441150485235 0.663741090885954 0.663341539226022 0.672955521890841 0.679413094342023 0.673568693336401 0.667974464802113 0.666781433089157 0.675733658648639 0.678832322010711 0.680590087051791 0.676931208277719 0.67161002227962 0.66077059460592 0.669551755593299 0.67153266116321 0.666913526035618 0.670678968961076 0.671545714143531 0.668950807641575 0.669365489450783 0.665415291491496 0.669571395993039 0.684328684355389 0.671020589880058 0.676649494160838 0.675564161831223 0.674519796118172 0.674320601093554 0.689629480942257 0.668060126673595 0.674687193982403 0.677850874572546 0.680614654893897 0.691090262282766 0.680283326178633 0.673675151673853 0.673624051802601 0.671071912729181 0.669293072109871 0.672378249955496 0.674051395035049 0.675643959542442 0.695784089058724 0.671596943934516 0.680530342425175 0.682807429929152 0.679374029787581 0.665770191819273 0.674167302870289 0.672665844861306
"N_NOV12" 0.66814299996257 0.668119138588484 0.658958878932298 0.667727065616698 0.671291712488934 0.670881888450437 0.656181138115498 0 0.66665519683662 0.641389282664502 0.634351142674696 0.675669444204491 0.640114868025461 0.667823150568003 0.661129003651285 0.655627067148546 0.678771293009397 0.665427124224688 0.655530514688429 0.666626543488473 0.662563922551597 0.662505634733492 0.667204748949182 0.679350644587257 0.674964984550721 0.671229804574745 0.665354977772372 0.658935531931835 0.674162842923215 0.679918212677642 0.679342446056889 0.671933856991461 0.679452888913798 0.677396147352301 0.673134246259297 0.671125146910257 0.678185168812256 0.677776838862888 0.666432526714 0.674148862057521 0.673732947031748 0.663681337118563 0.671406326387885 0.673123250669201 0.669042892549113 0.675152481868415 0.670076334737546 0.673443941800019 0.67109624291957 0.664312919750523 0.672813920358795 0.686581494085483 0.664735466485551 0.669879261192192 0.670156718090837 0.673764545196261 0.681714430633331 0.680140511504722 0.661784868141367 0.682818287132578 0.659480165999766 0.664079082981757 0.669042405189934 0.670830642841498 0.668437364783192 0.678961715407438 0.67085366039148 0.673606041680041 0.667210060306802 0.660290855025594 0.662282520494463 0.667960154946519 0.674223009764245 0.669650911471285 0.675360240359513 0.671245561327868 0.664097349461703 0.671432321453876 0.674042309896199 0.665554092376921 0.680312633140389 0.675528537777985 0.664598195448471 0.673235699522061 0.680994256979376 0.666552101412316 0.665481022323443 0.673643783026436 0.671188773504638 0.671550736844851 0.674533565136511 0.670687353864465 0.679362317686928 0.680943803617056 0.666442938576038 0.6721568278797 0.672294091864007 0.65941897954747
"N_NOV20" 0.66247358971652 0.666212582950505 0.671390655034278 0.670426413264484 0.665786168024007 0.647644863682419 0.668777393034401 0.66665519683662 0 0.65474409248613 0.661509417933829 0.666437027079176 0.662034036281289 0.656750443640878 0.660915571207997 0.670550561734768 0.671569850385705 0.664367063972769 0.662190329976863 0.664032305172525 0.680381986659737 0.662402384377786 0.677826139848611 0.667483047474839 0.66813279867293 0.669452409669044 0.665384885013155 0.666804821608916 0.671482354304392 0.661105533692326 0.669056380480219 0.666862594258365 0.686512114009334 0.66309007514286 0.674048531160314 0.674102212652835 0.670580279253217 0.672617122219951 0.684587220868753 0.667821874802268 0.674185668632517 0.66607444960289 0.664848847538351 0.667793240217541 0.675777299515625 0.662104663881575 0.673747985829056 0.667981643302991 0.659716089084884 0.661795504120725 0.669447072086028 0.68195899229266 0.67175689055921 0.663900976805563 0.671272719554176 0.670589195451152 0.664871765062962 0.677597666362545 0.66897668185684 0.676464152910073 0.666770114051364 0.657522426472337 0.667602146323188 0.673809043507727 0.663758166248424 0.675712699006521 0.679565233556951 0.679631887890052 0.661118656011145 0.663877290399484 0.685268367340804 0.673371372353741 0.664053970122957 0.65768810737918 0.670347832538147 0.665723145134353 0.676607230752532 0.664166866659163 0.675013285782095 0.674665020420099 0.675125913670403 0.692542522169437 0.676826700598863 0.665280454511636 0.676098634982814 0.668904907168752 0.663547216114652 0.672603691345697 0.66633924838301 0.669622947088007 0.693553280957955 0.671569850385705 0.678217698040727 0.675704982128812 0.679436598037023 0.665521056913243 0.669815186632299 0.663480893885969
"N_NOV28" 0.638826974546557 0.653019208866303 0.666948255240981 0.656422408088506 0.658453585126647 0.657388857846693 0.630774250436003 0.641389282664502 0.65474409248613 0 0.638578397024207 0.659580282912841 0.652897199664077 0.659821763412441 0.634330382782388 0.604688751772373 0.661235976333684 0.649372838108377 0.646182706763509 0.649632805659067 0.675918421640706 0.662912912296934 0.669860826542803 0.659696816367679 0.664729482552183 0.657594533061582 0.66360961614174 0.665444714321479 0.663790064652304 0.663782108337661 0.662644747397247 0.669261460154096 0.687782445790404 0.667872057465391 0.66255688386073 0.664495267707726 0.664735552366101 0.663913285912095 0.664159662032858 0.65841692092201 0.663900305728276 0.658481429003269 0.659637283539698 0.658364488756216 0.66118645647391 0.659655214798584 0.659803695822799 0.661401968024305 0.6639429634685 0.658376451960197 0.658814384871652 0.676060625989362 0.675982112458986 0.660635242320182 0.657177646028589 0.667470280925223 0.666040194642663 0.670938725956908 0.670527448467204 0.659928025072777 0.653606820643304 0.654465926243154 0.665356026807608 0.65835572372014 0.657962150099157 0.667212081897757 0.655720727066909 0.662806415672157 0.661476904824508 0.657642852087608 0.675585337818703 0.659753464773761 0.663067223757478 0.660148916122677 0.663472435857868 0.661252013679378 0.673499187580604 0.656202366083713 0.666563203227436 0.663524700853268 0.659175466939133 0.683048957752783 0.664041314416313 0.66191988264025 0.66272370082466 0.67098749261565 0.653886224841834 0.66471017698625 0.664670387222608 0.666148545296204 0.67736633632472 0.652386510687803 0.671601239785893 0.672019849462295 0.670369681220098 0.657749119285223 0.669683546348301 0.663220980492563
