id,pop,survey,season,sampler,site,site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,lon,lat
C_BTF1,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 1:50,7/09/2021 2:30,Yes,Yes,BTF1,Jul_2022,146.271978,-21.914986
C_BTF59,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,15/09/2021 12:13,15/09/2021 12:30,Yes,Yes,BTF59,Jul_2022,146.29508,-22.01683
C_BTF58,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,15/09/2021 12:13,15/09/2021 12:34,Yes,Yes,BTF58,Jul_2022,146.29508,-22.01683
C_BTF54,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,15/09/2021 10:22,15/09/2021 10:52,Yes,Yes,BTF54,Jul_2022,146.29508,-22.01683
C_BTF38,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,14/09/2021 10:06,14/09/2021 10:22,Yes,Yes,BTF38,Jul_2022,146.271978,-21.914986
C_BTF61,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,15/09/2021 1:54,15/09/2021 2:06,Yes,Yes,BTF61,Jul_2022,146.29508,-22.01683
C_BTF49,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,14/09/2021 3:22,14/09/2021 3:35,Yes,Yes,BTF49,Jul_2022,146.271978,-21.914986
S_BTF17,South,2021 Dry Season,Dry,Dean Jones,Carmichael bore,CMB,11/09/2021 3:20,11/09/2021 3:42,Yes,Yes,BTF17,Jul_2022,146.38315,-22.13729
C_BTF2,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 10:27,7/09/2021 11:16,No,Yes,BTF2,Jul_2022,146.271978,-21.914986
C_BTF3,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 11:00,7/09/2021 11:37,No,Yes,BTF3,Jul_2022,146.271978,-21.914986
C_BTF4,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 11:48,7/09/2021 12:24,No,Yes,BTF4,Jul_2022,146.271978,-21.914986
C_BTF5,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 11:50,7/09/2021 12:44,No,Yes,BTF5,Jul_2022,146.271978,-21.914986
C_BTF6,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 11:55,7/09/2021 12:56,No,Yes,BTF6,Jul_2022,146.271978,-21.914986
C_BTF7,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 1:50,7/09/2021 2:19,No,Yes,BTF7,Jul_2022,146.271978,-21.914986
C_BTF8,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 1:50,7/09/2021 2:47,No,Yes,BTF8,Jul_2022,146.271978,-21.914986
C_BTF9,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 1:50,7/09/2021 3:25,No,Yes,BTF9,Jul_2022,146.271978,-21.914986
C_BTF10,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,7/09/2021 1:50,7/09/2021 3:13,No,Yes,BTF10,Jul_2022,146.271978,-21.914986
C_BTF11,Central,2021 Dry Season,Dry,Dean Jones,10 Mile Bore,10MB,8/09/2021 1:40,8/09/2021 2:10,No,Yes,BTF11,Jul_2022,146.271978,-21.914986
C_BTF12,Central,2021 Dry Season,Dry,Dean Jones,Number 2 Dam,N2D,9/09/2021 10:56,9/09/2021 11:35,No,Yes,BTF12,Jul_2022,146.30724,-21.94793
C_BTF13,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,10/09/2021 11:40,10/09/2021 12:00,No,Yes,BTF13,Jul_2022,146.29508,-22.01683
C_BTF14,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,10/09/2021 12:45,10/09/2021 1:02,No,Yes,BTF14,Jul_2022,146.29508,-22.01683
C_BTF15,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,10/09/2021 12:50,10/09/2021 1:22,No,No,BTF15,Jul_2022,146.29508,-22.01683
